LAU2_CODE,without_education,undetermined,lower_secondary_vocational_education,bachelors_degree,masters_degree,doctoral_degree,higher_vocational_education,primary_education,complete_secondary_vocational_education,complete_secondary_general_education,okres
SK0426521680,9.875640087783468,1.6093635698610096,19.60497439648866,2.560351133869788,11.338697878566203,0.7315288953913679,8.119970738844184,13.97220190197513,27.505486466715436,4.681784930504755,Košice - okolie
SK0426521698,15.691411935953422,3.027656477438137,15.283842794759826,1.7273168364871423,8.850072780203783,0.4172731683648714,4.725861232411451,24.182435710819988,19.854439592430857,6.239689471130519,Košice - okolie
SK0426521701,3.076923076923077,7.692307692307693,21.53846153846154,1.5384615384615385,12.307692307692308,0.0,10.76923076923077,12.307692307692308,27.692307692307693,3.076923076923077,Košice - okolie
SK0426521728,10.737179487179487,3.685897435897436,19.551282051282048,2.2435897435897436,13.141025641025642,0.641025641025641,8.493589743589743,12.339743589743591,24.999999999999996,4.166666666666666,Košice - okolie
SK0426521736,16.135204081632654,4.974489795918368,14.03061224489796,1.6581632653061225,11.607142857142858,0.7653061224489796,3.635204081632653,24.55357142857143,18.75,3.8903061224489797,Košice - okolie
SK0426521744,8.741258741258742,3.8461538461538463,19.23076923076923,1.3986013986013985,12.937062937062937,1.7482517482517483,4.545454545454545,20.27972027972028,21.67832167832168,5.594405594405594,Košice - okolie
SK0426521752,11.617312072892938,4.100227790432802,16.62870159453303,2.164009111617312,17.88154897494305,1.2528473804100226,6.605922551252847,13.895216400911162,21.298405466970387,4.5558086560364455,Košice - okolie
SK0426521761,19.015659955257274,2.460850111856823,14.093959731543624,1.1185682326621924,5.369127516778524,0.0,2.6845637583892614,40.04474272930649,10.961968680089486,4.250559284116331,Košice - okolie
SK0426521779,9.415584415584416,2.272727272727273,24.02597402597403,2.922077922077922,5.51948051948052,0.3246753246753247,5.8441558441558445,14.61038961038961,28.57142857142857,6.493506493506493,Košice - okolie
SK0426521787,12.550066755674234,4.672897196261682,16.02136181575434,1.8691588785046727,12.683578104138851,0.6675567423230975,5.607476635514018,20.694259012016023,20.69425901201602,4.539385847797062,Košice - okolie
SK0426521795,14.087301587301587,1.1904761904761905,25.0,3.571428571428571,8.928571428571429,0.5952380952380952,5.555555555555555,16.46825396825397,22.222222222222225,2.380952380952381,Košice - okolie
SK0426521809,15.384615384615385,2.7149321266968327,20.814479638009047,1.809954751131222,9.95475113122172,0.904977375565611,4.524886877828054,12.669683257918553,25.79185520361991,5.429864253393665,Košice - okolie
SK0426521817,13.163481953290871,0.42462845010615713,15.923566878980893,4.246284501061571,11.8895966029724,0.6369426751592357,6.794055201698514,18.683651804670912,22.505307855626327,5.7324840764331215,Košice - okolie
SK0426521825,16.124260355029584,1.183431952662722,19.378698224852073,2.0710059171597637,11.242603550295858,0.591715976331361,5.029585798816568,21.893491124260358,18.34319526627219,4.142011834319527,Košice - okolie
SK0426521833,11.650485436893204,3.8834951456310676,20.388349514563107,4.854368932038835,13.592233009708737,1.9417475728155338,2.9126213592233006,11.650485436893204,23.300970873786405,5.825242718446602,Košice - okolie
SK0426521841,10.714285714285714,3.0612244897959187,25.0,1.0204081632653061,9.693877551020408,1.530612244897959,3.571428571428571,28.06122448979592,15.816326530612244,1.530612244897959,Košice - okolie
SK0426521850,8.998302207130731,1.3582342954159592,19.524617996604412,2.5466893039049237,14.770797962648558,0.8488964346349746,7.130730050933787,14.431239388794566,24.108658743633278,6.281833616298811,Košice - okolie
SK0426521868,10.539845758354756,1.7994858611825193,17.994858611825194,2.056555269922879,9.254498714652955,0.5141388174807198,6.683804627249357,21.85089974293059,24.67866323907455,4.627249357326478,Košice - okolie
SK0426521876,10.8355091383812,3.8511749347258486,19.712793733681462,1.8276762402088773,9.856396866840731,0.5874673629242819,6.1357702349869445,19.06005221932115,23.04177545691906,5.091383812010444,Košice - okolie
SK0426521884,13.23529411764706,4.0966386554621845,23.949579831932773,2.415966386554622,10.819327731092438,0.31512605042016806,4.936974789915967,17.016806722689076,19.747899159663866,3.466386554621849,Košice - okolie
SK0426521892,10.51846325997762,3.0958597538232002,20.067139127191346,2.7974636329727716,12.607236105930623,0.5967922417008579,6.340917568071615,14.136516225289071,25.58746736292428,4.252144722118612,Košice - okolie
SK0426521906,9.192200557103064,4.456824512534819,23.119777158774376,2.2284122562674096,8.635097493036211,0.5571030640668524,5.2924791086350975,20.055710306406684,23.398328690807798,3.064066852367688,Košice - okolie
SK0426521914,28.82599580712788,1.991614255765199,15.618448637316561,0.41928721174004197,1.5723270440251573,0.0,1.0482180293501049,45.17819706498952,4.716981132075472,0.628930817610063,Košice - okolie
SK0426521922,8.059701492537313,3.880597014925373,20.597014925373134,2.0895522388059704,8.656716417910449,0.0,7.761194029850747,15.223880597014926,27.16417910447761,6.567164179104477,Košice - okolie
SK0426521931,12.389038981088381,3.5893477421844846,15.013508297954457,2.6244693168660747,18.680046314164414,1.6209957545349287,5.017367811655731,15.785411038209187,20.87996912389039,4.399845619451949,Košice - okolie
SK0426521949,9.046052631578947,4.440789473684211,20.23026315789474,1.644736842105263,12.828947368421053,1.151315789473684,6.414473684210526,13.815789473684209,25.986842105263158,4.440789473684211,Košice - okolie
